order_date,product,category,region,channel,customer_segment,quantity,unit_price,revenue,profit,rating,is_returned
2023-01-30,Samsung Galaxy S24,Смартфоны,Казань,Сайт,Повторный,2,61590,123180,43891,4.6,0
2023-01-31,Sony WH-1000XM5,Наушники,Краснодар,Маркетплейс,Новый,9,24047,216423,110354,3.9,0
2023-01-31,ASUS ZenBook,Ноутбуки,Москва,Розничный магазин,Новый,1,71014,71014,25742,3.7,0
2023-01-31,MacBook Air M3,Ноутбуки,Москва,Мобильное приложение,Новый,1,124331,124331,47540,,0
2023-02-01,iPhone 15 Pro,Смартфоны,Москва,Маркетплейс,Новый,1,82926,82926,28884,4.6,0
2023-02-01,Samsung Tab S9,Планшеты,Санкт-Петербург,Сайт,Повторный,9,58209,523881,215978,4.7,1
2023-02-02,Dell XPS 15,Ноутбуки,Новосибирск,Сайт,Новый,4,75911,303644,108637,4.7,1
2023-02-02,Xiaomi 14,Смартфоны,Москва,Мобильное приложение,Повторный,3,59047,177141,68705,,0
2023-02-02,Samsung Tab S9,Планшеты,Казань,Сайт,VIP,13,49972,649636,306055,4.9,0
2023-02-03,Lenovo ThinkPad X1,Ноутбуки,Екатеринбург,Сайт,Новый,5,87866,439330,157941,3.1,1
2023-02-03,Google Pixel 8,Смартфоны,Новосибирск,Маркетплейс,Повторный,3,50168,150504,55405,4.2,0
2023-02-04,AirPods Pro 2,Наушники,Санкт-Петербург,Розничный магазин,Новый,11,19503,214533,107867,4.2,0
2023-02-04,Чехол iPhone,Аксессуары,Екатеринбург,Мобильное приложение,Новый,1,684,684,404,4.4,0
2023-02-04,iPhone 15 Pro,Смартфоны,Москва,Маркетплейс,Новый,1,84624,84624,29881,4.4,0
2023-02-05,Bose QC45,Наушники,Казань,Розничный магазин,Новый,2,21005,42010,22046,4.4,0
2023-02-05,Google Pixel 8,Смартфоны,Санкт-Петербург,Маркетплейс,Новый,2,66053,132106,44673,3.5,0
2023-02-06,Xiaomi Pad 6,Планшеты,Казань,Мобильное приложение,Повторный,1,28464,28464,12893,,0
2023-02-06,Стекло защитное,Аксессуары,Казань,Сайт,Новый,2,642,1284,872,4.2,0
2023-02-06,Мышь беспроводная,Аксессуары,Санкт-Петербург,Сайт,Повторный,2,2186,4372,2757,4.0,0
2023-02-07,Samsung Galaxy S24,Смартфоны,Санкт-Петербург,Сайт,Новый,1,67182,67182,26575,3.6,0
2023-02-07,Samsung Tab S9,Планшеты,Краснодар,Сайт,Новый,2,48237,96474,40968,,1
2023-02-08,MacBook Air M3,Ноутбуки,Новосибирск,Мобильное приложение,Новый,2,91924,183848,77444,4.2,0
2023-02-08,Мышь беспроводная,Аксессуары,Краснодар,Розничный магазин,Новый,7,1829,12803,7993,2.7,0
2023-02-08,Sony WH-1000XM5,Наушники,Москва,Сайт,Новый,2,29532,59064,30621,4.5,0
2023-02-09,Lenovo ThinkPad X1,Ноутбуки,Казань,Маркетплейс,Новый,14,101334,1418676,613257,3.4,0
2023-02-09,Samsung Tab S9,Планшеты,Санкт-Петербург,Мобильное приложение,Новый,7,58512,409584,188904,3.6,0
2023-02-10,iPhone 15 Pro,Смартфоны,Москва,Сайт,VIP,2,89215,178430,64652,5.0,0
2023-02-10,ASUS ZenBook,Ноутбуки,Москва,Сайт,VIP,10,77909,779090,288840,4.6,0
2023-02-10,Samsung Galaxy S24,Смартфоны,Москва,Сайт,VIP,4,66528,266112,95358,4.4,0
2023-02-11,Google Pixel 8,Смартфоны,Казань,Маркетплейс,Повторный,4,50541,202164,70544,3.8,0
2023-02-11,Xiaomi Pad 6,Планшеты,Екатеринбург,Маркетплейс,Повторный,3,25060,75180,31719,4.1,1
2023-02-12,Зарядка 65W,Аксессуары,Москва,Мобильное приложение,Новый,3,1703,5109,3083,,0
2023-02-12,Sony WH-1000XM5,Наушники,Санкт-Петербург,Маркетплейс,Повторный,4,25770,103080,49235,4.3,0
2023-02-13,Samsung Tab S9,Планшеты,Санкт-Петербург,Розничный магазин,Повторный,2,61674,123348,54507,4.7,0
2023-02-13,MacBook Air M3,Ноутбуки,Новосибирск,Мобильное приложение,Повторный,3,100963,302889,131210,4.7,0
2023-02-13,Lenovo ThinkPad X1,Ноутбуки,Санкт-Петербург,Сайт,Новый,2,107144,214288,88433,4.4,0
2023-02-14,Samsung Galaxy S24,Смартфоны,Казань,Маркетплейс,Новый,3,60145,180435,62053,,0
2023-02-14,Samsung Buds2,Наушники,Москва,Мобильное приложение,Повторный,1,13033,13033,6106,4.2,0
2023-02-15,Мышь беспроводная,Аксессуары,Санкт-Петербург,Маркетплейс,Новый,3,2108,6324,3995,3.9,0
2023-02-15,Зарядка 65W,Аксессуары,Екатеринбург,Мобильное приложение,Повторный,1,1462,1462,981,4.5,0
2023-02-15,Зарядка 65W,Аксессуары,Новосибирск,Маркетплейс,Повторный,1,1474,1474,860,4.3,0
2023-02-16,Samsung Galaxy S24,Смартфоны,Санкт-Петербург,Сайт,Повторный,2,69463,138926,44952,3.6,0
2023-02-16,Samsung Tab S9,Планшеты,Москва,Маркетплейс,Новый,1,58476,58476,23380,4.3,0
2023-02-17,Samsung Buds2,Наушники,Краснодар,Сайт,Новый,3,10886,32658,17440,4.0,0
2023-02-17,Xiaomi Pad 6,Планшеты,Москва,Мобильное приложение,Повторный,5,32195,160975,71028,3.8,0
2023-02-17,MacBook Air M3,Ноутбуки,Новосибирск,Розничный магазин,Новый,5,95962,479810,173364,4.5,0
2023-02-18,iPad Air 5,Планшеты,Казань,Маркетплейс,Новый,9,41149,370341,168366,3.5,0
2023-02-18,Xiaomi 14,Смартфоны,Москва,Сайт,Повторный,4,50416,201664,65145,3.8,0
2023-02-19,Google Pixel 8,Смартфоны,Новосибирск,Маркетплейс,Новый,1,48394,48394,18658,4.0,0
2023-02-19,Samsung Galaxy S24,Смартфоны,Новосибирск,Сайт,Повторный,3,55839,167517,60023,2.8,0
2023-02-19,Samsung Galaxy S24,Смартфоны,Казань,Сайт,Новый,6,54424,326544,125901,4.3,0
2023-02-20,Google Pixel 8,Смартфоны,Санкт-Петербург,Мобильное приложение,VIP,1,66223,66223,22357,3.5,0
2023-02-20,Xiaomi 14,Смартфоны,Новосибирск,Мобильное приложение,Повторный,11,47565,523215,170055,4.0,0
2023-02-21,Lenovo ThinkPad X1,Ноутбуки,Санкт-Петербург,Маркетплейс,Повторный,3,104940,314820,119549,4.5,0
2023-02-21,Sony WH-1000XM5,Наушники,Новосибирск,Сайт,Новый,2,21028,42056,21415,4.6,0
2023-02-21,ASUS ZenBook,Ноутбуки,Краснодар,Сайт,Новый,1,68466,68466,28350,5.0,0
2023-02-22,Samsung Galaxy S24,Смартфоны,Санкт-Петербург,Сайт,Новый,2,69459,138918,48679,3.7,0
2023-02-22,Google Pixel 8,Смартфоны,Москва,Розничный магазин,VIP,1,59237,59237,19652,,0
2023-02-23,Стекло защитное,Аксессуары,Казань,Маркетплейс,Повторный,1,673,673,406,4.6,0
2023-02-23,Samsung Buds2,Наушники,Москва,Розничный магазин,Повторный,1,11935,11935,5747,4.4,0
2023-02-23,Google Pixel 8,Смартфоны,Санкт-Петербург,Сайт,Новый,1,64899,64899,22731,3.9,0
2023-02-24,Sony WH-1000XM5,Наушники,Краснодар,Мобильное приложение,Новый,9,23519,211671,103724,4.4,0
2023-02-24,ASUS ZenBook,Ноутбуки,Санкт-Петербург,Мобильное приложение,Новый,6,68527,411162,160223,4.7,0
2023-02-25,Samsung Tab S9,Планшеты,Казань,Розничный магазин,Повторный,9,52136,469224,219407,4.0,0
2023-02-25,Sony WH-1000XM5,Наушники,Москва,Сайт,Повторный,2,27936,55872,29015,2.9,0
2023-02-25,Dell XPS 15,Ноутбуки,Казань,Сайт,VIP,5,83185,415925,157930,3.9,0
2023-02-26,MacBook Air M3,Ноутбуки,Екатеринбург,Розничный магазин,VIP,1,105819,105819,43059,4.2,0
2023-02-26,Samsung Galaxy S24,Смартфоны,Санкт-Петербург,Мобильное приложение,VIP,7,66180,463260,162659,4.0,0
2023-02-27,Xiaomi Pad 6,Планшеты,Казань,Сайт,Новый,2,29185,58370,25060,3.3,0
2023-02-27,Xiaomi 14,Смартфоны,Санкт-Петербург,Мобильное приложение,Новый,4,51434,205736,69803,4.1,0
2023-02-28,Lenovo ThinkPad X1,Ноутбуки,Москва,Розничный магазин,Новый,12,117212,1406544,511675,4.6,0
2023-02-28,Sony WH-1000XM5,Наушники,Санкт-Петербург,Сайт,Повторный,16,28469,455504,203246,,0
2023-02-28,Кабель USB-C,Аксессуары,Москва,Розничный магазин,Повторный,5,501,2505,1655,4.5,0
2023-03-01,Мышь беспроводная,Аксессуары,Санкт-Петербург,Мобильное приложение,Новый,6,2941,17646,10183,4.4,0
2023-03-01,Xiaomi 14,Смартфоны,Казань,Маркетплейс,Повторный,4,63728,254912,100613,4.2,0
2023-03-02,Dell XPS 15,Ноутбуки,Краснодар,Розничный магазин,Повторный,2,108518,217036,84525,3.1,0
2023-03-02,Xiaomi 14,Смартфоны,Москва,Маркетплейс,Новый,9,74930,674370,219624,4.5,0
2023-03-02,Мышь беспроводная,Аксессуары,Санкт-Петербург,Розничный магазин,VIP,2,2547,5094,2916,3.9,0
2023-03-03,AirPods Pro 2,Наушники,Краснодар,Мобильное приложение,Повторный,2,23264,46528,23554,3.3,0
2023-03-03,MacBook Air M3,Ноутбуки,Москва,Мобильное приложение,VIP,2,145850,291700,117380,4.4,0
2023-03-04,AirPods Pro 2,Наушники,Новосибирск,Мобильное приложение,Новый,5,24272,121360,65463,3.6,0
2023-03-04,Lenovo ThinkPad X1,Ноутбуки,Санкт-Петербург,Мобильное приложение,VIP,7,129233,904631,355002,,0
2023-03-04,Xiaomi 14,Смартфоны,Екатеринбург,Сайт,VIP,2,56637,113274,40681,4.0,0
2023-03-05,Bose QC45,Наушники,Санкт-Петербург,Маркетплейс,VIP,11,29913,329043,168109,4.8,0
2023-03-05,ASUS ZenBook,Ноутбуки,Санкт-Петербург,Маркетплейс,Повторный,1,96132,96132,36059,3.1,0
2023-03-06,Samsung Galaxy S24,Смартфоны,Новосибирск,Розничный магазин,Новый,1,64311,64311,21527,5.0,0
2023-03-06,Lenovo ThinkPad X1,Ноутбуки,Краснодар,Маркетплейс,Повторный,6,111073,666438,264699,,0
2023-03-06,Dell XPS 15,Ноутбуки,Екатеринбург,Маркетплейс,Новый,4,104096,416384,174810,4.6,0
2023-03-07,iPad Air 5,Планшеты,Москва,Мобильное приложение,Новый,4,62827,251308,101574,4.2,0
2023-03-07,Samsung Galaxy S24,Смартфоны,Санкт-Петербург,Сайт,Новый,3,76712,230136,90599,5.0,0
2023-03-08,Чехол iPhone,Аксессуары,Краснодар,Мобильное приложение,VIP,2,1060,2120,1298,4.9,1
2023-03-08,Dell XPS 15,Ноутбуки,Санкт-Петербург,Мобильное приложение,Повторный,13,126786,1648218,619589,4.6,0
2023-03-08,Кабель USB-C,Аксессуары,Казань,Розничный магазин,Новый,3,561,1683,1062,4.1,0
2023-03-09,Bose QC45,Наушники,Москва,Сайт,Новый,2,33827,67654,35771,3.8,0
2023-03-09,Samsung Galaxy S24,Смартфоны,Казань,Сайт,VIP,1,67503,67503,25981,3.6,0
2023-03-10,Кабель USB-C,Аксессуары,Санкт-Петербург,Мобильное приложение,Новый,4,672,2688,1617,3.3,0
2023-03-10,Samsung Galaxy S24,Смартфоны,Екатеринбург,Розничный магазин,Новый,2,67080,134160,51591,3.8,0
2023-03-10,iPad Air 5,Планшеты,Москва,Сайт,Новый,1,62978,62978,27729,3.8,0
2023-03-11,Dell XPS 15,Ноутбуки,Санкт-Петербург,Розничный магазин,Новый,3,124249,372747,136132,5.0,0
2023-03-11,Samsung Galaxy S24,Смартфоны,Москва,Маркетплейс,VIP,4,91459,365836,125786,4.2,0
2023-03-12,Кабель USB-C,Аксессуары,Санкт-Петербург,Сайт,Повторный,1,624,624,357,4.2,0
2023-03-12,Samsung Galaxy S24,Смартфоны,Казань,Маркетплейс,Новый,7,66201,463407,160450,3.7,0
2023-03-13,Google Pixel 8,Смартфоны,Казань,Розничный магазин,Повторный,3,67092,201276,73080,3.3,0
2023-03-13,Samsung Tab S9,Планшеты,Москва,Сайт,Повторный,7,74817,523719,218945,3.8,0
2023-03-13,Samsung Galaxy S24,Смартфоны,Новосибирск,Маркетплейс,Повторный,4,65396,261584,103589,,0
2023-03-14,Зарядка 65W,Аксессуары,Екатеринбург,Мобильное приложение,VIP,3,1736,5208,3470,4.4,0
2023-03-14,Dell XPS 15,Ноутбуки,Краснодар,Розничный магазин,Новый,1,114774,114774,46820,4.4,0
2023-03-15,Samsung Galaxy S24,Смартфоны,Новосибирск,Мобильное приложение,Повторный,5,63536,317680,123497,4.3,0
2023-03-15,Зарядка 65W,Аксессуары,Москва,Маркетплейс,Новый,2,2456,4912,2851,4.4,0
2023-03-15,Google Pixel 8,Смартфоны,Москва,Розничный магазин,Повторный,1,82670,82670,30042,5.0,0
2023-03-16,AirPods Pro 2,Наушники,Москва,Розничный магазин,Повторный,5,27873,139365,63643,3.6,0
2023-03-16,Мышь беспроводная,Аксессуары,Москва,Сайт,Новый,2,2645,5290,3603,4.9,0
2023-03-17,iPad Air 5,Планшеты,Екатеринбург,Маркетплейс,Повторный,3,56233,168699,72454,3.3,0
2023-03-17,MacBook Air M3,Ноутбуки,Москва,Маркетплейс,Новый,9,139129,1252161,535591,3.4,0
2023-03-17,Кабель USB-C,Аксессуары,Москва,Маркетплейс,Новый,1,640,640,429,3.8,0
2023-03-18,Samsung Galaxy S24,Смартфоны,Екатеринбург,Мобильное приложение,Повторный,1,66041,66041,24717,3.8,0
2023-03-18,Lenovo ThinkPad X1,Ноутбуки,Санкт-Петербург,Сайт,Новый,20,128059,2561180,965342,4.0,0
2023-03-19,Xiaomi Pad 6,Планшеты,Санкт-Петербург,Мобильное приложение,VIP,3,37727,113181,49423,5.0,0
2023-03-19,Dell XPS 15,Ноутбуки,Санкт-Петербург,Розничный магазин,Повторный,7,118036,826252,326244,4.4,0
2023-03-19,Xiaomi 14,Смартфоны,Санкт-Петербург,Маркетплейс,Повторный,2,58726,117452,39314,3.9,0
2023-03-20,AirPods Pro 2,Наушники,Санкт-Петербург,Маркетплейс,Новый,1,28390,28390,15222,4.2,0
2023-03-20,Samsung Tab S9,Планшеты,Москва,Сайт,Новый,2,71193,142386,67194,4.8,0
2023-03-21,Samsung Buds2,Наушники,Казань,Розничный магазин,Новый,1,12672,12672,6000,4.7,0
2023-03-21,Мышь беспроводная,Аксессуары,Казань,Сайт,Новый,4,2438,9752,6028,4.3,0
2023-03-21,Xiaomi Pad 6,Планшеты,Санкт-Петербург,Сайт,Новый,1,35436,35436,14977,3.0,0
2023-03-22,AirPods Pro 2,Наушники,Москва,Сайт,Повторный,5,27445,137225,61437,3.8,1
2023-03-22,iPad Air 5,Планшеты,Москва,Мобильное приложение,Новый,8,62515,500120,227428,4.4,1
2023-03-23,Xiaomi 14,Смартфоны,Екатеринбург,Сайт,Новый,2,58814,117628,43352,3.6,0
2023-03-23,ASUS ZenBook,Ноутбуки,Санкт-Петербург,Мобильное приложение,Новый,8,83454,667632,278241,4.3,0
2023-03-23,AirPods Pro 2,Наушники,Казань,Маркетплейс,Повторный,1,22314,22314,11263,2.9,1
2023-03-24,Xiaomi 14,Смартфоны,Санкт-Петербург,Мобильное приложение,Новый,2,68992,137984,46680,,1
2023-03-24,Кабель USB-C,Аксессуары,Москва,Маркетплейс,VIP,1,733,733,457,4.5,0
2023-03-25,Samsung Buds2,Наушники,Екатеринбург,Мобильное приложение,Повторный,1,11485,11485,5165,4.8,0
2023-03-25,Lenovo ThinkPad X1,Ноутбуки,Москва,Розничный магазин,Повторный,5,134372,671860,252246,,0
2023-03-25,Samsung Tab S9,Планшеты,Москва,Маркетплейс,Новый,2,79995,159990,70104,3.4,0
2023-03-26,Bose QC45,Наушники,Москва,Сайт,Повторный,1,30043,30043,14764,4.2,0
2023-03-26,ASUS ZenBook,Ноутбуки,Казань,Мобильное приложение,Повторный,1,81556,81556,33573,3.8,0
2023-03-27,Dell XPS 15,Ноутбуки,Москва,Маркетплейс,Новый,3,121089,363267,143145,4.7,0
2023-03-27,iPhone 15 Pro,Смартфоны,Москва,Мобильное приложение,Новый,1,106620,106620,34549,5.0,0
2023-03-28,ASUS ZenBook,Ноутбуки,Санкт-Петербург,Мобильное приложение,Повторный,3,83011,249033,96118,3.7,0
2023-03-28,Xiaomi Pad 6,Планшеты,Краснодар,Сайт,Повторный,4,36468,145872,66135,4.1,0
2023-03-28,Стекло защитное,Аксессуары,Санкт-Петербург,Мобильное приложение,Новый,7,825,5775,3202,3.5,0
2023-03-29,MacBook Air M3,Ноутбуки,Санкт-Петербург,Розничный магазин,Повторный,3,130026,390078,155774,3.8,0
2023-03-29,Стекло защитное,Аксессуары,Краснодар,Сайт,Повторный,1,838,838,493,2.6,0
2023-03-30,Lenovo ThinkPad X1,Ноутбуки,Краснодар,Сайт,Новый,3,107649,322947,120722,3.9,0
2023-03-30,Sony WH-1000XM5,Наушники,Санкт-Петербург,Сайт,Повторный,1,32172,32172,17072,4.6,0
2023-03-30,Зарядка 65W,Аксессуары,Санкт-Петербург,Сайт,Повторный,20,1987,39740,25816,4.2,0
2023-03-31,Зарядка 65W,Аксессуары,Новосибирск,Маркетплейс,VIP,4,1792,7168,4444,4.0,0
2023-03-31,Bose QC45,Наушники,Москва,Розничный магазин,Новый,1,28180,28180,13159,4.0,1
2023-04-01,Samsung Galaxy S24,Смартфоны,Санкт-Петербург,Мобильное приложение,Новый,4,78201,312804,101634,,0
2023-04-01,Чехол iPhone,Аксессуары,Краснодар,Мобильное приложение,Повторный,4,943,3772,2459,4.6,0
2023-04-01,MacBook Air M3,Ноутбуки,Казань,Сайт,VIP,9,115860,1042740,439710,3.2,0
2023-04-02,Google Pixel 8,Смартфоны,Казань,Маркетплейс,Повторный,1,72735,72735,25018,4.4,1
2023-04-02,Dell XPS 15,Ноутбуки,Санкт-Петербург,Мобильное приложение,VIP,3,113332,339996,133544,4.5,0
2023-04-03,Dell XPS 15,Ноутбуки,Москва,Мобильное приложение,Новый,2,122742,245484,96162,4.8,0
2023-04-03,Чехол iPhone,Аксессуары,Краснодар,Маркетплейс,Новый,6,985,5910,3893,5.0,0
2023-04-03,Стекло защитное,Аксессуары,Москва,Мобильное приложение,Повторный,1,828,828,545,4.0,0
2023-04-04,iPhone 15 Pro,Смартфоны,Москва,Розничный магазин,VIP,4,96988,387952,142634,4.6,0
2023-04-04,Xiaomi 14,Смартфоны,Москва,Розничный магазин,Повторный,5,74128,370640,145698,4.9,0
2023-04-05,Стекло защитное,Аксессуары,Москва,Мобильное приложение,Повторный,1,893,893,597,4.2,0
2023-04-05,Google Pixel 8,Смартфоны,Москва,Маркетплейс,Новый,1,82991,82991,32797,,0
2023-04-05,Google Pixel 8,Смартфоны,Санкт-Петербург,Мобильное приложение,Новый,1,68946,68946,23603,4.3,0
2023-04-06,Samsung Galaxy S24,Смартфоны,Екатеринбург,Мобильное приложение,Новый,2,71723,143446,50463,4.6,0
2023-04-06,MacBook Air M3,Ноутбуки,Казань,Сайт,Новый,6,131091,786546,311081,5.0,0
2023-04-07,Google Pixel 8,Смартфоны,Казань,Мобильное приложение,Повторный,3,72905,218715,80825,,0
